,label,ytid,start,stop
0,Happy,--sIMPsphRI,10.0,20.0
1,Happy,-1KAjPp2-Vc,120.0,130.0
2,Happy,-37X0bRVT0g,140.0,150.0
3,Happy,-49HTaaNAjk,10.0,20.0
4,Happy,-5rnGk2e1ao,0.0,10.0
5,Happy,-7Y8Cmjdvuk,20.0,30.0
6,Happy,-84CyEpynsY,10.0,20.0
7,Aggressive,-9P1IlNEgsM,0.0,8.0
8,Happy,-9YohOxYZ0Q,10.0,20.0
9,Aggressive,-AWooU1PDiM,70.0,80.0
10,Happy,-EM6qEqk_H0,10.0,20.0
11,Happy,-HLkaa5GCFg,20.0,30.0
13,Sad,-LKvu9q54f0,0.0,10.0
14,Aggressive,-LWu_lirwKk,0.0,10.0
15,Happy,-P6nEMyReaE,30.0,40.0
16,Happy,-QSTEXFuNZs,0.0,10.0
17,Happy,-SL5sFIuhtg,30.0,40.0
18,Happy,-U_T33UO3pc,400.0,410.0
19,Happy,-UubaEEMA4Q,30.0,40.0
20,Aggressive,-W0tpODVUfQ,30.0,40.0
21,Happy,-XZsrkx1QTg,100.0,110.0
22,Happy,-Z0yjRccfSY,17.0,27.0
23,Happy,-ZBKA57bVj8,20.0,30.0
24,Aggressive,-_mJl31MZtI,10.0,20.0
25,Happy,-bVfRhfALDw,60.0,70.0
26,Happy,-f4mhC6iEQg,440.0,450.0
27,Happy,-fKwciZMwKA,90.0,100.0
28,Happy,-hmxj4RXeeE,10.0,20.0
29,Happy,-hqM85LZw7c,20.0,30.0
30,Sad,-jc0RWAooVI,0.0,10.0
31,Sad,-lwNEw-ZXlQ,10.0,20.0
32,Happy,-mSwjIS8V3M,0.0,10.0
33,Happy,-mtTSO6FhSA,10.0,20.0
34,Happy,-n6rtB7rMuo,30.0,40.0
35,Happy,-niT5wKbFOo,10.0,20.0
36,Sad,-nvJc7KvBJ8,30.0,40.0
37,Happy,-pd7_XFFy0A,100.0,110.0
38,Happy,-r7foRuzOuc,70.0,80.0
39,Happy,-rPJ7Wsc0DM,30.0,40.0
40,Happy,-tPtpv32DZw,10.0,20.0
41,Happy,-wZzftkiRRg,60.0,70.0
42,Happy,-xy_iwaQckM,50.0,60.0
43,Happy,-yktClBEgbk,30.0,40.0
45,Aggressive,02IacAQLR5o,30.0,40.0
46,Happy,02sESlzy10E,20.0,30.0
47,Happy,03LzjpuHPT0,30.0,40.0
48,Happy,04_bFVAHEvQ,50.0,60.0
49,Aggressive,06qdRReVxJ0,30.0,40.0
51,Sad,07SjhI8-C9g,50.0,60.0
52,Happy,0BaMj-LMg1E,20.0,30.0
53,Aggressive,0BwiOU6alvQ,0.0,10.0
54,Happy,0BzKPzhMkM4,0.0,10.0
55,Happy,0CRPp8k4wEo,30.0,40.0
56,Sad,0CYxiRkfVhw,30.0,40.0
57,Happy,0FWL8ljUSv0,29.0,39.0
58,Happy,0IGUZWhc9Go,10.0,20.0
59,Happy,0QkmP-TtIFo,300.0,310.0
60,Happy,0cnLnzrBcmY,10.0,20.0
61,Happy,0eNfQDAbn_Y,20.0,30.0
62,Happy,0eaVWAwYCyU,40.0,50.0
63,Happy,0geFG8tCbrc,0.0,9.0
64,Happy,0gkLHfHJSnI,80.0,90.0
65,Sad,0h5NeRwdBbE,60.0,70.0
66,Happy,0izj5OZGtg8,30.0,40.0
67,Aggressive,0kTHgSzQkfw,10.0,20.0
68,Happy,0ofwqeWmzR4,10.0,20.0
69,Happy,12lHWBzDR9E,30.0,40.0
70,Happy,13wi58mGQiY,40.0,50.0
71,Happy,15V6gSGOFvI,60.0,70.0
72,Happy,18ndo219WMw,10.0,20.0
73,Happy,1AVIgVuOSWY,30.0,40.0
74,Happy,1CjY7QMOkts,30.0,40.0
75,Happy,1DhAEZuFl1w,20.0,30.0
76,Aggressive,1ETeBLkMRwA,50.0,60.0
77,Happy,1GzXNCz67xo,10.0,20.0
78,Happy,1H2XD5lUp8w,30.0,40.0
79,Sad,1KZ0cJhqmW4,60.0,70.0
80,Aggressive,1MYPt58xkLA,10.0,20.0
82,Happy,1UH-TFIqOl4,30.0,40.0
83,Happy,1UyoW1YAY28,40.0,50.0
85,Happy,1WWPdIr91b8,0.0,10.0
